date,MoN,avg_price,total_vol,p0,v0,p1,v1,p2,v2,p3,v3,p4,v4
2021-04-23 15:00:00,N,17187.0,310108.0,17226.0,11290.0,17195.0,10020.0,17173.0,8937.0,17120.0,8499.0,17259.0,7946.0
2021-04-23 08:45:00,M,17161.0,248522.0,17226.0,11171.0,17195.0,10020.0,17173.0,8937.0,17120.0,8499.0,,
2021-04-22 15:00:00,N,17203.0,474690.0,17146.0,14317.0,17283.0,13995.0,17266.0,13721.0,17107.0,10677.0,17353.0,6248.0
2021-04-22 08:45:00,M,17225.0,384392.0,17283.0,13995.0,17266.0,13721.0,17144.0,9628.0,17108.0,8903.0,17353.0,6248.0
2021-04-21 15:00:00,N,17189.0,344498.0,17167.0,21794.0,17239.0,18452.0,,,,,,
2021-04-21 08:45:00,M,17188.0,284194.0,17239.0,16692.0,17174.0,14671.0,17143.0,9885.0,,,,
2021-04-20 15:00:00,N,17262.0,357384.0,17252.0,27275.0,17288.0,22670.0,,,,,,
2021-04-20 08:45:00,M,17263.0,285360.0,17252.0,20985.0,17289.0,18471.0,,,,,,
2021-04-19 15:00:00,N,17217.0,368144.0,17250.0,24550.0,17281.0,13009.0,,,,,,
2021-04-19 08:45:00,M,17210.0,301904.0,17252.0,21388.0,17164.0,9633.0,17200.0,9356.0,,,,
2021-04-16 15:00:00,N,17077.0,320924.0,17031.0,14140.0,17090.0,12726.0,17158.0,11208.0,17115.0,9091.0,,
2021-04-16 08:45:00,M,17063.0,269696.0,17031.0,14140.0,17090.0,12600.0,17115.0,8579.0,,,,
2021-04-15 15:00:00,N,16979.0,368512.0,16928.0,15520.0,17103.0,8770.0,17007.0,6926.0,17129.0,5799.0,,
2021-04-15 08:45:00,M,16938.0,274774.0,16928.0,15520.0,16892.0,12434.0,16967.0,7168.0,17007.0,6820.0,,
2021-04-14 15:00:00,N,16783.0,447532.0,16857.0,12926.0,16896.0,12738.0,16820.0,12011.0,16735.0,9248.0,16677.0,7127.0
2021-04-14 08:45:00,M,16766.0,383350.0,16820.0,11938.0,16857.0,10210.0,16735.0,9248.0,16677.0,7127.0,,
2021-04-13 15:00:00,N,16915.0,369044.0,17000.0,15918.0,16914.0,11490.0,16835.0,11112.0,16939.0,10490.0,,
2021-04-13 08:45:00,M,16932.0,309818.0,17000.0,15918.0,16914.0,11490.0,16939.0,10490.0,16800.0,6126.0,,
2021-04-12 15:00:00,N,16868.0,284446.0,16848.0,17918.0,16907.0,10780.0,,,,,,
2021-04-12 08:45:00,M,16871.0,232148.0,16842.0,14103.0,16907.0,10679.0,16791.0,4096.0,,,,
2021-04-09 15:00:00,N,16875.0,258334.0,16858.0,19971.0,,,,,,,,
2021-04-09 08:45:00,M,16878.0,211038.0,16858.0,14838.0,,,,,,,,
2021-04-08 15:00:00,N,16833.0,277828.0,16780.0,9659.0,16930.0,8338.0,16724.0,7046.0,16887.0,7031.0,16870.0,6827.0
2021-04-08 08:45:00,M,16810.0,228122.0,16780.0,9659.0,16724.0,7046.0,16888.0,6845.0,16870.0,6795.0,16921.0,5979.0
2021-04-07 15:00:00,N,16738.0,234816.0,16760.0,19502.0,16720.0,12814.0,,,,,,
2021-04-07 08:45:00,M,16738.0,188586.0,16768.0,15611.0,16718.0,10008.0,,,,,,
2021-04-06 15:00:00,N,16751.0,257622.0,16744.0,24498.0,,,,,,,,
2021-04-06 08:45:00,M,16751.0,210646.0,16745.0,21254.0,,,,,,,,
2021-04-01 15:00:00,N,16550.0,300240.0,16550.0,21894.0,16583.0,7225.0,16681.0,5771.0,,,,
2021-04-01 08:45:00,M,16524.0,235506.0,16550.0,21802.0,,,,,,,,
2021-03-31 15:00:00,N,16470.0,270164.0,16439.0,16814.0,16525.0,11436.0,,,,,,
2021-03-31 08:45:00,M,16467.0,213530.0,16433.0,14582.0,16515.0,8604.0,,,,,,
2021-03-30 15:00:00,N,16489.0,264928.0,16521.0,17086.0,16477.0,13514.0,,,,,,
2021-03-30 08:45:00,M,16475.0,204726.0,16520.0,15546.0,16477.0,13451.0,,,,,,
2021-03-29 15:00:00,N,16426.0,299574.0,16459.0,18961.0,16411.0,15342.0,16374.0,11230.0,,,,
2021-03-29 08:45:00,M,16416.0,227990.0,16411.0,15229.0,16374.0,11215.0,16459.0,10819.0,,,,
2021-03-26 15:00:00,N,16226.0,345554.0,16285.0,18233.0,16104.0,10744.0,16309.0,10409.0,16200.0,8309.0,16245.0,8067.0
2021-03-26 08:45:00,M,16191.0,251628.0,16285.0,14927.0,16104.0,10744.0,16200.0,8299.0,16245.0,7754.0,16169.0,7346.0
2021-03-25 15:00:00,N,15991.0,371326.0,16016.0,19310.0,15934.0,9431.0,,,,,,
2021-03-25 08:45:00,M,15981.0,276424.0,16025.0,12608.0,15934.0,9406.0,15903.0,6734.0,,,,
2021-03-24 15:00:00,N,15991.0,355542.0,16002.0,26044.0,16036.0,16078.0,,,,,,
2021-03-24 08:45:00,M,15995.0,266960.0,15992.0,18994.0,16036.0,15149.0,15964.0,13216.0,,,,
2021-03-23 15:00:00,N,16168.0,303310.0,16127.0,20688.0,16239.0,9462.0,,,,,,
2021-03-23 08:45:00,M,16185.0,237358.0,16125.0,11878.0,16166.0,10644.0,16239.0,9462.0,,,,
2021-03-22 15:00:00,N,16087.0,353438.0,16113.0,17596.0,16155.0,12723.0,15994.0,6539.0,16221.0,4580.0,,
2021-03-22 08:45:00,M,16065.0,273466.0,16114.0,13636.0,16154.0,9850.0,15994.0,6535.0,15941.0,4405.0,,
2021-03-19 15:00:00,N,16022.0,401010.0,16017.0,23133.0,16043.0,17241.0,,,,,,
2021-03-19 08:45:00,M,16022.0,303304.0,16017.0,19541.0,16050.0,13583.0,16090.0,8073.0,,,,
2021-03-18 15:00:00,N,16265.0,388884.0,16245.0,15923.0,16260.0,15311.0,16312.0,12426.0,16198.0,11517.0,16358.0,10772.0
2021-03-18 08:45:00,M,16299.0,280740.0,16245.0,15461.0,16312.0,12426.0,16358.0,10772.0,16392.0,8266.0,,
2021-03-17 15:00:00,N,16207.0,346132.0,16138.0,13412.0,16309.0,11148.0,16202.0,10618.0,16259.0,8877.0,16184.0,8497.0
2021-03-17 08:45:00,M,16229.0,262142.0,16309.0,11148.0,16138.0,9229.0,16202.0,8997.0,16259.0,8877.0,16184.0,7545.0
2021-03-16 15:00:00,N,16269.0,395102.0,16245.0,23447.0,16326.0,15852.0,,,,,,
2021-03-16 08:45:00,M,16260.0,333028.0,16245.0,23150.0,16326.0,10401.0,,,,,,
2021-03-15 15:00:00,N,16195.0,372004.0,16209.0,36142.0,,,,,,,,
2021-03-15 08:45:00,M,16195.0,304982.0,16209.0,28392.0,,,,,,,,
2021-03-12 15:00:00,N,16190.0,348514.0,16227.0,22252.0,16199.0,16202.0,16131.0,9744.0,,,,
2021-03-12 08:45:00,M,16211.0,251194.0,16227.0,22252.0,,,,,,,,
2021-03-11 15:00:00,N,16141.0,366614.0,16184.0,24623.0,16249.0,5314.0,15975.0,4391.0,,,,
2021-03-11 08:45:00,M,16120.0,280208.0,16175.0,21448.0,15975.0,4391.0,,,,,,
2021-03-10 15:00:00,N,15895.0,400482.0,15883.0,19329.0,15939.0,18132.0,15843.0,15128.0,15985.0,7326.0,,
2021-03-10 08:45:00,M,15876.0,277704.0,15880.0,17526.0,15843.0,15098.0,,,,,,
